Start,End,Duration
DT1,DT2,2
DT2,DT3,1
DT3,DT4,2
DT4,DT5,3
DT5,DT6,2
DT6,DT7,2
DT7,DT8,2
DT8,DT9,2
DT9,DT10,2
DT10,DT11,2
DT11,DT12,2
DT12,DT13,2
DT13,DT14,2
DT14,DT15,2
DT15,DT16,2
DT16,DT17,2
DT17,DT18,1
DT18,DT19,1
DT19,DT20,3
DT20,DT21,1
DT21,DT22,2
DT22,DT23,2
DT23,DT24,2
DT24,DT25,3
DT25,DT26,1
DT26,DT27,2
DT27,DT28,2
DT28,DT29,2
DT29,DT30,2
DT30,DT31,3
DT31,DT32,2
DT32,DT33,2
DT33,DT34,3
DT34,DT35,2
CC1,CC2,2
CC2,CC3,2
CC3,CC4,2
CC4,CC5,6
CC5,CC6,2
CC6,CC7,2
CC7,CC8,2
CC8,CC9,2
CC9,CC10,2
CC10,CC11,2
CC11,CC12,2
CC12,CC13,2
CC13,CC14,2
CC14,CC15,2
CC15,CC16,3
CC16,CC17,2
CC17,CC19,3
CC19,CC20,2
CC20,CC21,2
CC21,CC22,2
CC22,CC23,2
CC23,CC24,2
CC24,CC25,2
CC25,CC26,2
CC26,CC27,2
CC27,CC28,2
CC28,CC29,2
CE1,CE2,2
CE1,CC4,2
NS1,NS2,3
NS2,NS3,2
NS3,NS4,4
NS4,NS5,3
NS5,NS7,5
NS7,NS8,3
NS8,NS9,2
NS9,NS10,3
NS10,NS11,3
NS11,NS12,3
NS12,NS13,3
NS13,NS14,2
NS14,NS15,6
NS15,NS16,2
NS16,NS17,4
NS17,NS18,2
NS18,NS19,2
NS19,NS20,3
NS20,NS21,2
NS21,NS22,3
NS22,NS23,2
NS23,NS24,2
NS24,NS25,3
NS25,NS26,2
NS26,NS27,2
NS27,NS28,3
EW1,EW2,3
EW2,EW3,3
EW3,EW4,3
EW4,EW5,3
EW5,EW6,3
EW6,EW7,3
EW7,EW8,2
EW8,EW9,2
EW9,EW10,3
EW10,EW11,2
EW11,EW12,2
EW12,EW13,3
EW13,EW14,2
EW14,EW15,3
EW15,EW16,2
EW16,EW17,2
EW17,EW18,2
EW18,EW19,3
EW19,EW20,2
EW20,EW21,2
EW21,EW22,3
EW22,EW23,3
EW23,EW24,4
EW24,EW25,3
EW25,EW26,2
EW26,EW27,3
EW27,EW28,2
EW28,EW29,4
EW29,EW30,3
EW30,EW31,3
EW31,EW32,2
EW32,EW33,2
NE1,NE3,4
NE3,NE4,2
NE4,NE5,2
NE5,NE6,3
NE6,NE7,1
NE7,NE8,1
NE8,NE9,2
NE9,NE10,3
NE10,NE11,1
NE11,NE12,2
NE12,NE13,3
NE13,NE14,2
NE14,NE15,2
NE15,NE16,2
NE16,NE17,3
NE17,NE18,2
TE1,TE2,2
TE2,TE3,3
TE3,TE4,4
TE4,TE5,3
TE5,TE6,3
TE6,TE7,2
TE7,TE8,2
TE8,TE9,3
TE9,TE11,4
TE11,TE12,2
TE12,TE13,2
TE13,TE14,2
TE14,TE15,2
TE15,TE16,2
TE16,TE17,2
TE17,TE18,2
TE18,TE19,1
TE19,TE20,2
TE20,TE22,3
TE22,TE23,4
TE23,TE24,2
TE24,TE25,2
TE25,TE26,2
TE26,TE27,2
TE27,TE28,2
TE28,TE29,3
BP1,BP2,1
BP2,BP3,2
BP3,BP4,2
BP4,BP5,2
BP5,BP6,2
BP6,BP7,2
BP7,BP8,2
BP8,BP9,2
BP9,BP10,2
BP10,BP11,2
BP11,BP12,2
BP12,BP13,2
BP13,BP6,2
PTC,PW1,2
PW1,PW2,1
PW2,PW3,2
PW3,PW4,2
PW4,PW5,2
PW5,PW6,1
PW6,PW7,1
PTC,PE1,3
PE1,PE2,1
PE2,PE3,1
PE3,PE4,1
PE4,PE5,1
PE5,PE6,1
PE6,PE7,1
PE7,PTC,2
STC,SW1,2
SW1,SW2,1
SW2,SW3,1
SW3,SW4,1
SW4,SW5,1
SW5,SW6,1
SW6,SW7,1
SW7,SW8,1
SW8,STC,3
STC,SE1,2
SE1,SE2,1
SE2,SE3,1
SE3,SE4,1
SE4,SE5,2
SE5,STC,3
CG1,CG2,4
CG,CG1,3
DT2,DT1,2
DT3,DT2,1
DT4,DT3,2
DT5,DT4,3
DT6,DT5,2
DT7,DT6,2
DT8,DT7,2
DT9,DT8,2
DT10,DT9,2
DT11,DT10,2
DT12,DT11,2
DT13,DT12,2
DT14,DT13,2
DT15,DT14,2
DT16,DT15,2
DT17,DT16,2
DT18,DT17,1
DT19,DT18,1
DT20,DT19,3
DT21,DT20,1
DT22,DT21,2
DT23,DT22,2
DT24,DT23,2
DT25,DT24,3
DT26,DT25,1
DT27,DT26,2
DT28,DT27,2
DT29,DT28,2
DT30,DT29,2
DT31,DT30,3
DT32,DT31,2
DT33,DT32,2
DT34,DT33,3
DT35,DT34,2
CC2,CC1,2
CC3,CC2,2
CC4,CC3,2
CC5,CC4,6
CC6,CC5,2
CC7,CC6,2
CC8,CC7,2
CC9,CC8,2
CC10,CC9,2
CC11,CC10,2
CC12,CC11,2
CC13,CC12,2
CC14,CC13,2
CC15,CC14,2
CC16,CC15,3
CC17,CC16,2
CC19,CC17,3
CC20,CC19,2
CC21,CC20,2
CC22,CC21,2
CC23,CC22,2
CC24,CC23,2
CC25,CC24,2
CC26,CC25,2
CC27,CC26,2
CC28,CC27,2
CC29,CC28,2
CE2,CE1,2
CC4,CE1,2
NS2,NS1,3
NS3,NS2,2
NS4,NS3,4
NS5,NS4,3
NS7,NS5,5
NS8,NS7,3
NS9,NS8,2
NS10,NS9,3
NS11,NS10,3
NS12,NS11,3
NS13,NS12,3
NS14,NS13,2
NS15,NS14,6
NS16,NS15,2
NS17,NS16,4
NS18,NS17,2
NS19,NS18,2
NS20,NS19,3
NS21,NS20,2
NS22,NS21,3
NS23,NS22,2
NS24,NS23,2
NS25,NS24,3
NS26,NS25,2
NS27,NS26,2
NS28,NS27,3
EW2,EW1,3
EW3,EW2,3
EW4,EW3,3
EW5,EW4,3
EW6,EW5,3
EW7,EW6,3
EW8,EW7,2
EW9,EW8,2
EW10,EW9,3
EW11,EW10,2
EW12,EW11,2
EW13,EW12,3
EW14,EW13,2
EW15,EW14,3
EW16,EW15,2
EW17,EW16,2
EW18,EW17,2
EW19,EW18,3
EW20,EW19,2
EW21,EW20,2
EW22,EW21,3
EW23,EW22,3
EW24,EW23,4
EW25,EW24,3
EW26,EW25,2
EW27,EW26,3
EW28,EW27,2
EW29,EW28,4
EW30,EW29,3
EW31,EW30,3
EW32,EW31,2
EW33,EW32,2
NE3,NE1,4
NE4,NE3,2
NE5,NE4,2
NE6,NE5,3
NE7,NE6,1
NE8,NE7,1
NE9,NE8,2
NE10,NE9,3
NE11,NE10,1
NE12,NE11,2
NE13,NE12,3
NE14,NE13,2
NE15,NE14,2
NE16,NE15,2
NE17,NE16,3
NE18,NE17,2
TE2,TE1,2
TE3,TE2,3
TE4,TE3,4
TE5,TE4,3
TE6,TE5,3
TE7,TE6,2
TE8,TE7,2
TE9,TE8,3
TE11,TE9,4
TE12,TE11,2
TE13,TE12,2
TE14,TE13,2
TE15,TE14,2
TE16,TE15,2
TE17,TE16,2
TE18,TE17,2
TE19,TE18,1
TE20,TE19,2
TE22,TE20,3
TE23,TE22,4
TE24,TE23,2
TE25,TE24,2
TE26,TE25,2
TE27,TE26,2
TE28,TE27,2
TE29,TE28,3
BP2,BP1,1
BP3,BP2,2
BP4,BP3,2
BP5,BP4,2
BP6,BP5,2
BP7,BP6,2
BP8,BP7,2
BP9,BP8,2
BP10,BP9,2
BP11,BP10,2
BP12,BP11,2
BP13,BP12,2
BP6,BP13,2
PW1,PTC,2
PW2,PW1,1
PW3,PW2,2
PW4,PW3,2
PW5,PW4,2
PW6,PW5,1
PW7,PW6,1
PE1,PTC,3
PE2,PE1,1
PE3,PE2,1
PE4,PE3,1
PE5,PE4,1
PE6,PE5,1
PE7,PE6,1
PTC,PE7,2
SW1,STC,2
SW2,SW1,1
SW3,SW2,1
SW4,SW3,1
SW5,SW4,1
SW6,SW5,1
SW7,SW6,1
SW8,SW7,1
STC,SW8,3
SE1,STC,2
SE2,SE1,1
SE3,SE2,1
SE4,SE3,1
SE5,SE4,2
STC,SE5,3
CG2,CG1,4
CG1,CG,3
NS1,EW24,2
EW24,NS1,2
NS4,BP1,2
BP1,NS4,2
NS9,TE2,2
TE2,NS9,2
NS17,CC15,2
CC15,NS17,2
NS21,DT11,2
DT11,NS21,2
NS22,TE14,2
TE14,NS22,2
NS24,NE6,2
NE6,NS24,2
NS24,CC1,2
CC1,NS24,2
NE6,CC1,2
CC1,NE6,2
NS25,EW13,2
EW13,NS25,2
NS26,EW14,2
EW14,NS26,2
NS27,CE2,2
CE2,NS27,2
NS27,TE20,2
TE20,NS27,2
CE2,TE20,2
TE20,CE2,2
EW2,DT32,2
DT32,EW2,2
EW8,CC9,2
CC9,EW8,2
EW12,DT14,2
DT14,EW12,2
EW16,NE3,2
NE3,EW16,2
EW16,TE17,2
TE17,EW16,2
NE3,TE17,2
TE17,NE3,2
EW21,CC22,2
CC22,EW21,2
CG1,DT35,2
DT35,CG1,2
CG,EW4,2
EW4,CG,2
NE1,CC29,2
CC29,NE1,2
NE4,DT19,2
DT19,NE4,2
NE7,DT12,2
DT12,NE7,2
NE12,CC13,2
CC13,NE12,2
NE16,STC,2
STC,NE16,2
NE17,PTC,2
PTC,NE17,2
CC4,DT15,2
DT15,CC4,2
CC10,DT26,2
DT26,CC10,2
CC17,TE9,2
TE9,CC17,2
CC19,DT9,2
DT9,CC19,2
CE1,DT16,2
DT16,CE1,2
DT1,BP6,2
BP6,DT1,2
DT10,TE11,2
TE11,DT10,2
